VARIABLES = "Xctr", "Yctr", "xSds", "ySds", "xSnorm","ySnorm", "xWds", "yWds","xWnorm", "yWnorm", "xInorm", "yInorm", "xJnorm", "yJnorm" 
ZONE T = "Grid center vals ", I = 129 , J = 64, F=POINT 

0.999675 -0.000312425 8.62e-05 -0.0006 0.142207 -0.989837 0 0.00035 0 1 -0.487057 0.386973 0.571103 -0.494919
0.998715 -0.00110145 0.00025799 -0.00181 0.14111 -0.989994 -0.0010773 -0.00025 -0.974115 -0.226055 -0.971519 -0.236709 0.448242 -0.822644
0.996465 -0.00215532 0.00042789 -0.003 0.141201 -0.989981 -0.00246771 -0.00063 -0.968923 -0.247363 -0.97259 -0.231988 0.352206 -0.908147
0.99297 -0.00339274 0.00059502 -0.0042 0.140271 -0.990113 -0.00392102 -0.00087 -0.976258 -0.216613 -0.978842 -0.204227 0.296894 -0.940681
0.988263 -0.0047892 0.0007579 -0.00537 0.139751 -0.990187 -0.0053716 -0.00105 -0.981426 -0.191842 -0.983353 -0.181396 0.262481 -0.956508
0.982363 -0.00633395 0.0009158 -0.00655 0.13847 -0.990367 -0.006801 -0.00118 -0.98528 -0.17095 -0.98657 -0.163148 0.238569 -0.965636
0.97529 -0.00801908 0.0010677 -0.0077 0.137348 -0.990523 -0.0082032 -0.00129 -0.98786 -0.155347 -0.988743 -0.149509 0.22146 -0.971346
0.96707 -0.00983662 0.0012125 -0.00883 0.136039 -0.990703 -0.0095745 -0.00139 -0.989625 -0.143671 -0.990337 -0.138584 0.207965 -0.975368
0.957717 -0.0117785 0.0013499 -0.00995 0.134437 -0.990922 -0.010913 -0.00147 -0.991049 -0.133496 -0.991599 -0.12928 0.196932 -0.978343
0.947258 -0.0138359 0.0014787 -0.01103 0.132873 -0.991133 -0.0122171 -0.00154 -0.992149 -0.125063 -0.992635 -0.121079 0.187787 -0.980617
0.935717 -0.015999 0.0015988 -0.0121 0.130994 -0.991383 -0.0134854 -0.00159 -0.993121 -0.117094 -0.993484 -0.113931 0.179737 -0.982466
0.923125 -0.0182576 0.0017096 -0.01313 0.129116 -0.99163 -0.0147146 -0.00164 -0.993846 -0.110768 -0.994156 -0.107912 0.172636 -0.983994
0.90951 -0.0206008 0.00181 -0.01413 0.127058 -0.991895 -0.015903 -0.00168 -0.994466 -0.105056 -0.994766 -0.102141 0.166019 -0.985331
0.894907 -0.023018 0.001902 -0.01509 0.125054 -0.99215 -0.017048 -0.0017 -0.995065 -0.0992263 -0.995328 -0.096518 0.160147 -0.986453
0.879352 -0.0254985 0.001982 -0.01603 0.122709 -0.992443 -0.018148 -0.00171 -0.99559 -0.0938097 -0.995801 -0.0915133 0.154454 -0.987477
0.862875 -0.02803 0.002052 -0.01693 0.120324 -0.992735 -0.019202 -0.00172 -0.996012 -0.0892168 -0.996204 -0.0870166 0.148981 -0.988415
0.84552 -0.030601 0.002112 -0.01777 0.118021 -0.993011 -0.020206 -0.00172 -0.996397 -0.0848165 -0.996592 -0.0824531 0.143877 -0.989251
0.827333 -0.0332005 0.002162 -0.01858 0.115582 -0.993298 -0.021158 -0.0017 -0.996788 -0.0800898 -0.996967 -0.077795 0.138915 -0.990024
0.80835 -0.035817 0.002201 -0.01935 0.113018 -0.993593 -0.022056 -0.00167 -0.997146 -0.0755002 -0.997311 -0.0732529 0.134028 -0.990751
0.78862 -0.0384383 0.002228 -0.02007 0.110334 -0.993895 -0.022898 -0.00163 -0.997476 -0.0710056 -0.997615 -0.0689958 0.129253 -0.991428
0.768195 -0.0410522 0.002245 -0.02073 0.107668 -0.994187 -0.023683 -0.00159 -0.997754 -0.066986 -0.997898 -0.0647738 0.124544 -0.992068
