VARIABLES = "X", "Y", "Speed", "P", "M","H", "S", "Xvel", "Yvel","F0", "G0", "rho", "RES0", "RES1", "RES2", "RES3" 
ZONE T = "CELL CENTERS AT TIMESTEP 0 ", I = 129 , J = 64, F=POINT 

0.999675 -0.000312425 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -354.581 -212932 -125260 -1.11343e+08
0.998715 -0.00110145 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -197.611 -124937 13400.8 -6.20524e+07
0.996465 -0.00215532 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -282.801 -172642 38725.1 -8.88033e+07
0.99297 -0.00339274 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -313.444 -189704 50439.4 -9.84253e+07
0.988263 -0.0047892 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -329.753 -198783 58712.9 -1.03547e+08
0.982363 -0.00633395 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -338.995 -203828 64359.8 -1.06449e+08
0.97529 -0.00801908 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -344.902 -207021 68630.7 -1.08304e+08
0.96707 -0.00983662 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -348.951 -209155 72095.9 -1.09575e+08
0.957717 -0.0117785 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -351.811 -210594 74838.7 -1.10473e+08
0.947258 -0.0138359 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -353.926 -211620 77150.8 -1.11137e+08
0.935717 -0.015999 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -355.466 -212292 78945.8 -1.11621e+08
0.923125 -0.0182576 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -356.791 -212843 80676.5 -1.12037e+08
0.90951 -0.0206008 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -357.864 -213236 82241.1 -1.12374e+08
0.894907 -0.023018 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -358.681 -213490 83510.1 -1.1263e+08
0.879352 -0.0254985 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -359.405 -213658 84706.2 -1.12858e+08
0.862875 -0.02803 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -360.056 -213781 85894.1 -1.13062e+08
0.84552 -0.030601 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -360.598 -213850 86983.2 -1.13232e+08
0.827333 -0.0332005 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -361.049 -213856 87948.2 -1.13374e+08
0.80835 -0.035817 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -361.461 -213827 88898.6 -1.13503e+08
0.78862 -0.0384383 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -361.811 -213751 89756.9 -1.13613e+08
0.768195 -0.0410522 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -362.155 -213673 90701.7 -1.13721e+08
0.74712 -0.0436475 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -362.47 -213569 91649.8 -1.1382e+08
0.725445 -0.0462117 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -362.706 -213401 92411.3 -1.13894e+08
0.703222 -0.048733 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -362.948 -213228 93275.1 -1.1397e+08
0.680505 -0.0511993 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -363.161 -213025 94125.6 -1.14037e+08
0.65735 -0.0535975 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -363.354 -212797 95007.1 -1.14098e+08
0.633815 -0.055915 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -363.504 -212515 95778 -1.14145e+08
0.609955 -0.0581393 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -363.656 -212224 96701.1 -1.14193e+08
0.585823 -0.060257 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -363.778 -211884 97598.9 -1.14231e+08
0.561478 -0.0622547 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -363.87 -211496 98441.6 -1.1426e+08
0.53698 -0.0641193 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -363.941 -211071 99344.7 -1.14282e+08
0.51239 -0.0658367 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -363.988 -210590 100313 -1.14297e+08
0.48777 -0.067394 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -364.004 -210061 101245 -1.14302e+08
0.463172 -0.0687772 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -363.99 -209461 102292 -1.14297e+08
0.438658 -0.0699733 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -363.942 -208803 103279 -1.14282e+08
0.414287 -0.0709695 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -363.848 -208061 104433 -1.14253e+08
