VARIABLES = "X", "Y", "Speed", "P", "M","H", "S", "Xvel", "Yvel","F0", "G0", "rho", "RES0", "RES1", "RES2", "RES3" 
ZONE T = "CELL CENTERS AT TIMESTEP 0 ", I = 128 , J = 64, F=POINT 

0.999675 -0.000312425 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -333.723 -201534 -125260 -1.03283e+008
1.00073 -0.00093395 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -187.766 -105284 16573.8 -5.81112e+007
1.00385 -0.00165933 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -117.202 -65717.6 6113.8 -3.62727e+007
1.0089 -0.00241275 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -84.1841 -47203.6 3106.73 -2.6054e+007
1.01585 -0.00317765 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -65.4924 -36722.8 1868.7 -2.02691e+007
1.02465 -0.00395168 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -54.3132 -30454.4 1281.44 -1.68093e+007
1.0353 -0.00473627 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -46.2622 -25940.1 928.07 -1.43176e+007
1.04785 -0.005534 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -40.5697 -22748.2 712.965 -1.25558e+007
1.06225 -0.00634775 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -36.6231 -20535.3 580.617 -1.13344e+007
1.0786 -0.00718025 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -33.0217 -18515.9 471.788 -1.02198e+007
1.09695 -0.0080345 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -30.6214 -17170 405.559 -9.47695e+006
1.11728 -0.00891375 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -28.4771 -15967.6 350.652 -8.81331e+006
1.13968 -0.009821 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -26.9139 -15091.2 313.155 -8.32953e+006
1.16423 -0.0107593 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -25.3778 -14229.8 278.381 -7.85413e+006
1.19098 -0.0117317 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -24.351 -13654 256.281 -7.53633e+006
1.22003 -0.0127418 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -23.2268 -13023.7 233.138 -7.18842e+006
1.25148 -0.0137927 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -22.493 -12612.3 218.624 -6.96132e+006
1.28537 -0.014888 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -21.7186 -12178 203.814 -6.72163e+006
1.32185 -0.016031 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -21.1315 -11848.8 192.933 -6.53993e+006
1.36103 -0.0172258 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -20.6279 -11566.5 183.84 -6.3841e+006
1.403 -0.018476 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -20.1574 -11302.6 175.541 -6.23847e+006
1.4479 -0.0197857 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -19.762 -11080.9 168.717 -6.11611e+006
